"Now Shopping by","Huidige filters"
"Please accept this invitation to join %store_name.","Accepteer deze uitnodiging om toe te treden tot %store_name."
"%store_name offers limited time sales of products only to members.","%store_name biedt tijdelijke koopjes aan voor leden."
"Please use the following link to create an account and view the deals:","Gebruik de volgende link om een account aan te maken en de aanbiedingen te bekijken:"
"Invited Customers","Uitgenodigde klanten"
Conversion,Conversie
"Invitation Section","Uitnodigings sectie"
Conversions,Conversies
"Customer Invitation Email Sender","Afzender Klant Uitnodiging E-mail"
"Customer Invitation Email Template","Klant uitnodigings e-mail template"
"Enable Invitations Functionality","E-mail uitnodigingen functionaliteit"
"Enable Invitations on Storefront","Schakel uitnodigingen in voor winkelaanzicht"
"Referred Customer Group","Gerefereerde klantgroep"
"New Accounts Registration","Nieuwe account registraties"
"Allow Customers to Add Custom Message to Invitation Email","Sta klanten toe om een eigen bericht aan uitnodigingsmail toe te voegen"
"Customer Invitations",Klant-uitnodigingen
"Discard Selected","Verwijder geselecteerde"
"Send Selected","Zend geselecteerde"
Registered,geregistreerd
"Valid Website","Geldige Website"
"Invitations Sent","uitnodigingen verzonden"
"Invitations Accepted","uitnodigingen geaccepteerd"
"Accept Rate","Tarief accepteren"
"Discard Rate","Verwijder ratio"
"Accepted and Purchased","Geaccepteerd en gekocht"
"Conversion Rate",Wisselkoers
Invitation,Uitnodiging
"The invitation code is incorrect. Verify the code and try again.","De uitnodigingscode is onjuist. Controleer de code en probeer het opnieuw."
"A customer ID group is missing. Enter a group and try again.","Een klantgroep-ID ontbreekt. Voer een groep in en probeer het opnieuw."
"The incorrect store is specified. Verify the store and try again.","De verkeerde winkel is opgegeven. Controleer de winkel en probeer het opnieuw."
"The store credit entered was invalid. Store credit must be less than the order amount. Verify and try again.","Het winkelkrediet dat werd ingevoerd was ongeldig. Winkelkrediet moet kleiner zijn dan het bestelbedrag. Controleer en probeer het opnieuw."
"The encrypted code couldn't be generated.","De gecodeerde code kan niet worden gegenereerd."
"An ID wasn't found for this invitation. Verify the invitation and try again.","Er is geen ID gevonden voor deze uitnodiging. Controleer de uitnodiging en probeer het opnieuw."
"The invitation with the ""%1"" status can't be sent.","De uitnodiging met de ""%1"" status kan niet worden verzonden."
"A valid invitation email is missing. Enter and try again.","Een geldige uitnodigingsmail ontbreekt. Probeer het opnieuw."
"The proper website couldn't be identified","De juiste website kon niet worden geïdentificeerd"
"This invitation is addressed to current customer ""%1"".","Deze uitnodiging is gericht aan huidige klant ""%1""."
"Catalog Products List","Catalogus Producten lijst"
"List of Products","Lijst van producten"
"Products Grid Template","Producten raster sjabloon"
"Delete Orphan Balances","Verwijder verweesde saldo's"
"Customer notified","Klant ingelicht"
"More information","Meer informatie"
"Update Balance","Update Saldo"
"An amount on which to change the balance","Een bedrag waarnaar saldo moet worden veranderd"
"Send Email Notification From the Following Store View","Stuur E-mailadres Notificatie vanuit het volgende Winkelaanzicht"
"Failed to initialize customer","Klant initializeren mislukt"
"The store credit payment has been removed from shopping cart.","De Winkeltegoed betaling is verwijderd uit winkelwagen."
"You are not using store credit in your shopping cart.","U gebruikt uw winkeltegoed niet in uw winkelwagen."
"Please set a website ID.","Stel een website-ID in."
"By admin: %1. (%2)","Door admin: %1. (%2)"
"Please also set the Store ID.","Het Winkel ID moet ook ingegeven worden."
"Please enter a store ID to send email notifications.","Geef een winkel ID op om email notificaties te versturen."
"Please specify a customer ID.","Geef een Klant-ID op."
"Please specify a valid customer.","Geef een geldige klant op."
"You need a balance to save your balance history.","U heeft een saldo nodig om uw saldo geschiedenis op te slaan."
"There is no credit memo set to balance model.","Er is geen creditfactuur gezet voor het Saldo-model."
"Order #%1, creditmemo #%2","Bestelling #%1, creditfactuur #%2"
"Unknown balance history action code","Onbekende Saldo geschiedenisactie code"
"There is no order set to balance model.","Er is geen volgorde gezet voor het Saldo-model."
"You do not have enough store credit to complete this order.","U heeft niet genoeg winkeltegoed om deze bestelling af te ronden."
"You can't use more store credit than the order amount.","U kan niet meer winkelkrediet gebruiken dan het bedrag van de bestelling."
"Store Credit Balance","Winkeltegoed Saldo"
"Refund Store Credit to Store Credit","Stort Winkeltegoed terug naar Winkelgoed"
"Refund Money to Store Credit","Stort geld terug naar Winkelgoed"
"Refund to Store Credit","Terugstorten naar Winkeltegoed"
"Use Store Credit (%1 available)","Gebruik winkeltegoed (%1 beschikbaar)"
"Your balance is:","Uw saldo is:"
"Use Store Credit","Gebruik Winkeltegoed"
available,Beschikbaar
"Refunded to Store Credit","Teruggestort naar Winkeltegoed"
"Store Credit update","Winkeltegoed Update"
"We have updated your <a href=""%store_url"">%store_name</a> account and you have credit that you can use for future purchases.","We hebben uw <a href=""%store_url"">%store_name</a> account gewijzigd en u heeft winkeltegoed dat u kunt gebruiken voor uw volgende aankopen."
"Your Store Credit balance is now %balance.","Uw winkeltegoed is nu %balance."
"Store credit",Winkeltegoed
"Store credit available","Winkeltegoed beschikbaar"
"Your store credit was successfully applied","Uw winkeltegoed is succesvol toegepast"
"Store Credit Options","Winkeltegoed Opties"
"Enable Store Credit Functionality","Schakel Winkeltegoed functionaliteit in"
"Show Store Credit History to Customers","Laat winkeltegoed geschiedenis aan klanten zien"
"Refund Store Credit Automatically","Stort Winkeltegoed automatisch terug"
"Store Credit Update Email Sender","Afzender Winkeltegoed Update E-mail"
"Store Credit Update Email Template","Winkeltegoed Update E-mail Template"
"A balance is needed to save a balance history.","Een saldo is nodig om een saldohistorie op te slaan."
"The balance history action code is unknown. Verify the code and try again.","De actiecode voor saldogeschiedenis is onbekend. Controleer de code en probeer het opnieuw."
"In Review","Wordt beoordeeld"
Unrequested,Onaangevraagd
"This order already has associated case entity","Deze bestelling heeft al een koppeling met een zaak-entiteit"
"The case entity should not be empty.","De zaak-entiteit zou net leeg moeten zijn."
"Cannot update Case entity.","Kan zaak-entiteit niet bijwerken."
"The ""%1"" should not be empty.","De ""%1"" zou niet leeg moeten zijn."
"Case entity not found.","Zaak-entiteit niet gevonden."
"Case Update: New score for the order is %1. Previous score was %2.","Zaak Update: Nieuwe score voor de bestelling is %1. Vorige score was %2."
"Awaiting the Signifyd guarantee disposition.","In afwachting van de Signifyd garantieplaatsing."
"Only single entrance of ""%1"" node is required.","Er is maar één enkele toegang van ""%1"" node verplicht."
"Not empty value for ""%1"" node is required.","Er is een waarde verplicht voor ""%1"" node."
"%1 must implement %2","%1 moet %2 implementeren"
"Cannot generate message.","Bericht kan niet worden gegenereerd."
"Message is generated.","Het bericht is gegenereerd."
"Case with the same order id already exists.","Zaak met hetzelfde bestelnr. bestaat al."
"Fraud Protection Information","Fraude bescherming informatie"
"Signifyd Guarantee Decision","Signifyd garantie beslissing"
"Fraud Protection Section","Sectie fraudebescherming"
"Fraud Protection",Fraudebescherming
"Protect your store from fraud with Guaranteed Fraud Protection by Signifyd.","Beveilig uw webshop tegen fraude met Gegarandeerde Fraude beveiliging door Signifyd."
"API URL",API-URL
"Signifyd automatically reviews your orders for fraud, telling you in seconds which orders to ship, and which to reject.
                    We back our approvals with 100% chargeback protection, reimbursing you the full order amount plus fees should you ever receive a fraudulent chargeback.
                    <p>Benefits:<ul>
                    <li>Grow your business without fear of fraud</li>
                    <li>Accept more orders and maximize your revenue</li>
                    <li>Automate order review and shift fraud off your plate</li></ul></p>","Signifyd beoordeelt uw bestellingen automatisch op fraude en vertelt u in seconden welke orders verzonden moeten worden en welke te weigeren.
We steunen onze goedkeuringen met 100% terugboekingsbescherming en betalen u het volledige orderbedrag plus kosten terug, mocht u ooit een frauduleuze terugvordering ontvangen.
<p>Voordelen:<ul>
<li>Laat uw bedrijf groeien zonder bang te hoeven zijn voor fraude</li>
<li>Accepteer meer bestellingen en maximaliseer uw inkomsten</li>
<li>Automatiseer bestellingscontrole en heb geen zorgen meer over fraude</li></ul></p>"
"<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">View our setup guide</a> for step-by-step instructions on how to integrate Signifyd with Magento.<br />For support contact <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>.","<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">Bekijk onze installatiehandleiding</a> voor stapsgewijze instructies voor het integreren van Signifyd met Magento.<br />Voor ondersteuningscontact <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>."
"Your webhook URL will be used to <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">configure</a> a guarantee completed webhook in Signifyd. Webhooks are used to sync Signifyd`s guarantee decisions back to Magento.","Uw webhook-URL zal worden gebruikt om <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">te configureren</a> een voltooide webhook in Signifyd. Webhooks worden gebruikt om Signifyd`s garantiebeslissingen terug te synchroniseren naar Magento."
"Admin Actions Log Archive","Admin Actief Logboek"
"Source Data",Brongegevens
"Value Before Change","Waarde voor wijzigen"
"Value After Change","Waarde na wijzigen"
"No changes","Geen veranderingen"
"The item was deleted","Het product werd verwijderd"
"Admin Actions Log","Admin Acties Logboek"
"Admin Actions Archive","Admin Acties Archief"
"actions' 'label","acties' 'label"
"%1 & applied","%1 & toegepast"
"Tax Rates Import","BTW-tarieven Importeren"
"Attributes Updated","Attributen bijgewerkt"
"Currency Rates Saved","Wisselkoersen Opgeslagen"
"Cache types: %1 ","Cache type: %1 "
"Tax Rates Export","BTW-tarieven Export"
"Unknown callback function: %1::%2","Onbekende callback functie: %1::%2"
Success,Succes
Failure,Mislukking
"This user is locked","Deze gebruiker is vergrendeld"
"Admin User Data","Beheerder Gebruikers Data"
"Aggregated Information","Geaggregeerde Informatie"
"Admin User ID","Beheerder Gebruikers ID"
"Admin User Name","Beheerders Gebruikersnaam"
IP-Address,IP-Adres
"X-Forwarded For","X-Forwarded Voor"
"Error Message",Foutmelding
"Related Changes","Verwante Wijzigingen"
"Admin Actions Log Archiving","Admin Acties Logboek Archivering"
"Log Entry Lifetime, Days","Logboekvermelding Levensduur, Dagen"
"Log Archiving Frequency","Log Archiverings Frequentie"
"Admin Actions Logging","Admin Acties Loggen"
"Enabled Actions","Ingeschakelde Acties"
"Mass Delete","Massaal verwijderen"
"Mass Update","Massaal bijwerken"
"Reindex Process",Herindexeren
Clean,Opschonen
Flush,Wissen
"Update Payment","Bijwerken van betaling"
"Update State","Staat bijwerken"
"Catalog Products","Catalogus Producten"
"Catalog Categories","Catalogus Categorieën"
"Catalog Ratings","Catalogus Becijfering"
"Catalog Reviews","Catalogus Reviews"
"Catalog Attributes","Catalogus Eigenschappen"
"Catalog Product Templates","Catalogus productsjablonen"
"Admin Sign In","Inloggen Admin"
"System Configuration",Systeemconfiguratie
"Admin My Account","Beheerder Mijn Account"
"Sales Orders","Verkoop Bestellingen"
"Sales Order Status","Verkoop Bestellings Status"
"Sales Invoices",Verkoopfacturen
"Sales Shipments","Verkoop Zendingen"
"Sales Credit Memos","Creditfacturen bij verkopen"
"Admin Permission Roles","Beheerder Rollen Bevoegdheden"
"Admin Permission Users","Beheerder Gebruikers Bevoegdheiden"
"Manage Websites","Beheer Websites"
"Manage Store Views","Beheer Winkelaanzichten"
"Manage Design","Beheer Ontwerp"
"Transactional Emails","Transactionele e-mails"
"System Backups","Systeem back-ups"
"Customer Tax Classes","Klant BTW-tariefgroepen"
"Catalog Product Tax Classes","Catalogus Product BTW-tariefgroepen"
"Tax Rates",BTW-tarieven
"Archive File","Archief Bestand"
"Action Group","Actie Groep"
Result,Resultaat
"Full Action Name","Volledige Actienaam"
"Full Details","Volledige Details"
"Indexer Management","indexering management"
"Update by Schedule","Volgens schema bijwerken"
"Update on Save","Indexeren bij opslaan"
"Reindex required","Opnieuw indexeren vereist"
Ready,Gereed
"%1 index is locked by another reindex process. Skipping.","%1 indexer is vergrendeld door een ander indexeringsproces. Wordt overgeslagen."
"Please select indexers.","Selecteer indexeringen."
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 indexer(s) staan in ""Volgens schema bijwerken"" modus."
"We couldn't change indexer(s)' mode because of an error.","De indexer(s) modus kan niet worden aangepast vanwege een fout."
"%1 indexer(s) are in ""Update on Save"" mode.","%1 indexer(s) staan in de modus ""Bijwerken tijdens opslaan""."
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","Een of meerdere <a href=""%1"">indexeringen zijn ongeldig</a>. Zorg ervoor dat uw <a href=""%2"" target=""_blank""> Magento cronjob</a> draait."
"State for the same indexer","Staat voor de dezelfde indexer"
"State for the same view","Staat voor de dezelfde weergave"
"Field '%1' not found","Veld '%1' niet gevonden"
"Some Exception Message","Een bericht met een uitzondering"
"Change indexer mode","Indexeer modus wijzigen"
"There is no such data mapper ""%1"" for interface %2","Er is geen dergelijke gegevens mapper ""%1"" voor interface %2"
"Data mapper ""%1"" must implement interface %2","Mapper van de gegevens ""%1"" moet interface %2 implementeren"
"""url"" argument should be specified and not empty","De waarde ""url"" moet worden opgegeven en mag niet leeg zijn"
"Return Html Version","Geef HTML-versie terug"
"Load Template","Sjabloon Laden"
"Edit Email Template","E-mail-sjabloon bewerken"
"New Email Template","Nieuwe e-mail-sjabloon"
"Currently Used For","Momenteel gebruikt voor"
Unknown,Onbekend
"You deleted the email template.","Je hebt het e-mail sjabloon verwijderd."
"The email template is currently being used.","Het e-mail sjabloon wordt momenteel gebruikt."
"We can't delete email template data right now. Please review log and try again.","Wij kunnen de e-mail sjabloongegevens nu niet verwijderen. Controleer het logboek en probeer het opnieuw."
"We can't find an email template to delete.","We vinden kunnen het e-mail sjabloon om te verwijderen niet vinden."
"Edit System Template","Systeem-sjabloon bewerken"
"New System Template","Nieuw systeem-sjabloon"
"Email Preview","Voorvertoning E-mail"
"An error occurred. The email template can not be opened for preview.","Er is een fout opgetreden. De e-mailtemplate kan niet worden geopend als voorvertoning."
"This email template no longer exists.","Dit e-mail-sjabloon bestaat niet meer."
"You saved the email template.","U hebt de e-mailtemplate opgeslagen."
"Area is already set","Gebied is al ingesteld"
"Design config must have area and store.","Ontwerp configuratie moet een land en winkel hebben."
"Base Unsecure URL","Onveilige basis-URL"
"Base Secure URL","Veilige basis-URL"
"General Contact Name","Algemeen contact naam"
"General Contact Email","Algemeen contact e-mail"
"Sales Representative Contact Name","Verkoop vertegenwoordiger contact naam"
"Sales Representative Contact Email","Verkoop vertegenwoordiger contact e-email"
"Custom1 Contact Name","Custom1 contact naam"
"Custom1 Contact Email","Custom1 contact e-mail"
"Custom2 Contact Name","Custom2 contact naam"
"Custom2 Contact Email","Custom2 contact e-mail"
"Store Hours",Winkeluren
"Street Address 1","Adresregel 1"
"Street Address 2","Adresregel 1"
"Store Contact Information",Contactinformatie
"Template Variables",Templatevariabelen
"Please enter a template name.","Voer een sjabloonnaam in."
"Duplicate Of Template Name","Kopie van sjabloon-naam"
"Invalid transactional email code: %1","Ongeldige transactionele email code: %1"
"Requested invalid store ""%1""","Ongeldige winkel opgevraagd ""%s1"
"""file"" parameter must be specified","""bestand"" parameter moet worden opgegeven"
"Contents of %s could not be loaded or is empty","Inhoud van %s kan niet worden geladen of is leeg "
"""file"" parameter must be specified and must not be empty","""bestand"" parameter moet worden opgegeven en kan niet leeg zijn"
"Design params must be set before calling this method","Ontwerp params moet worden ingesteld voordat u deze methode aanroept"
"CSS inlining error:","CSS inlining fout:"
"Error filtering template: %s","Fout filteren sjabloon: %s"
"We're sorry, an error has occurred while generating this content.","Er is een fout opgetreden bij het genereren van deze content."
"Invalid sender data","Ongeldige gegevens afzender"
"Load default template","Standaard-sjabloon laden"
"Are you sure you want to strip tags?","Weet u zeker dat u tags wilt strippen?"
"The template did not load. Please review the log for details.","De sjabloon niet is geladen. Controleer het logboek voor meer informatie."
"Thank you, %store_name","Dank u, %store_name"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Toegestane bestand types: jpg, jpeg, gif, png. Om een logo te optimalizeren voor hoge resolutie schermen, upload een afbeelding die 3x zo groot is en specifieer vervolgens 1x de dimensies in de breedte/hoogte velden."
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Enkkel verplicht als u hierboven een afbeelding heeft geupload. Geeft het aantal pixels in, zonder ""px"" toe te voegen."
"Logo Width","Logo breedte"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Enkkel verplicht als u hierboven een afbeelding heeft geupload. Geeft het aantal pixels in, zonder ""px"" toe te voegen."
"Logo Height","Logo hoogte"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","E-mail sjabloon dat gekozen wordt op basis van thema fallback als de optie ""Standaard"" is geselecteerd."
"Header Template","Koptekst sjabloon"
"Footer Template","Voettekst sjabloon"
"We're sorry, an error has occurred while generating this email.","Er is een fout opgetreden bij het genereren van deze e-mail."
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","Toegestane bestand types: jpg, jpeg, gif, png. Om een logo te optimalizeren voor hoge resolutie schermen, upload een afbeelding die 3x zo groot is en specifieer vervolgens 1x de dimensies in de breedte/hoogte velden."
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Enkel verplicht als u hierboven een afbeelding heeft geüpload. Voer het aantal pixels in, zonder ""px"" toe te voegen."
"<pre>' . . . . '</pre>","<pre>'. . . . . '</pre>"
"The design config needs an area and a store. Verify that both are set and try again.","De ontwerpconfiguratie heeft een gebied en een winkel nodig. Controleer of beide zijn ingesteld en probeer het opnieuw."
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Als u het logo wilt optimaliseren voor displays met een hoge resolutie uploadt u een afbeelding met de normale grootte van 3x en geeft u vervolgens 1x-afmetingen op in de onderstaande velden voor breedte / hoogte."
"Read Details","Lees details"
"Mark as Read","Markeren als gelezen"
"Messages Inbox",Berichteninbox
"You have %1 new system messages","U heeft %1 nieuwe systeemberichten"
"You have %1 new system message","U heeft %1 nieuw systeembericht"
"Incoming Message","Inkomend bericht"
close,Sluiten
Notifications,Meldingen
"The message has been marked as Read.","Het bericht is gemarkeerd als gelezen."
"We couldn't mark the notification as Read because of an error.","Het bericht kan niet als gelezen gemarkeerd worden door een fout."
"Please select messages.","Selecteer de meldingen."
"A total of %1 record(s) have been marked as Read.","%1 bericht(en) zijn gemarkeerd als gelezen."
"Total of %1 record(s) have been removed.","%1 bericht(en) zijn verwijderd."
"We couldn't remove the messages because of an error.","Het bericht kan niet verwijderd worden door een fout."
"The message has been removed.","De notificatie is verwijderd"
"1 Hour","1 uur"
"2 Hours","2 uur"
"6 Hours","6 uur"
"12 Hours","12 uur"
"24 Hours","24 uur"
critical,kritisch
major,belangrijk
minor,gering
notice,melding
"Wrong message type","Verkeerde bericht-type"
"Wrong notification ID specified.","Verkeerde melding ID opgegeven."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} wordt niet geadviseerd in een productie omgeving om de Onveilige Basis URL mee te definiëren. Het wordt aangeraden om deze waarde in uw Magento <a href=""%1"">configuratie</a> aan te passen."
"One or more of the Cache Types are invalidated: %1. ","Één of meerdere cache types zijn geïnvalideerd: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Ga naar <a href=""%1"">Cache Beheer</a> om de cache types te verversen."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","We waren niet in staat om een of meer mediabestanden te synchroniseren. Gelieve het logboekbestand bekijken voor meer informatie."
"Synchronization of media storages has been completed.","Synchronisatie van media opslagplaatsen is voltooid."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Uw webserver is niet goed geconfigureerd. Hierdoor kan ongeoorloofde toegang tot gevoelige bestanden plaats vinden. Neem contact op met uw serviceprovider."
"System Messages:",Systeemberichten:
"Critical System Messages","Kritische Systeemberichten"
"Major System Messages","Belangrijke Systeemberichten"
"System messages",Systeemberichten
"See All (","Alles bekijken ("
" unread)"," ongelezen)"
"Show Toolbar","Werkbalk weergeven"
"Show List","Lijst tonen"
"Use HTTPS to Get Feed","Gebruik HTTPS om de feed op te halen"
"Update Frequency",Update-frequentie
Severity,Ernst
"Date Added","Datum toegevoegd"
"Close popup","Sluit venster"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","U heeft alle recente systeem-meldingen bekeken en opgelost. Herlaad de pagina om de melding op te ruimen."
"Add Banner","Banner toevoegen"
"Save Banner","Banner opslaan"
"Delete Banner","Banner verwijderen"
"New Banner","nieuwe banner"
"Default Content","standaard inhoud"
"No Default Content","Geen standaard inhoud"
"Banner Default Content for All Store Views","Standaard Banner Inhoud voor alle Winkelaanzichten"
"Store View Specific Content","Winkelaanzicht Specifieke Content"
"Related Promotions","gerelateerde promoties"
"Banner Properties","banner specificaties"
"Banner Name","banner naam"
"Any Banner Type","elk banner type"
"Specified Banner Types","gespecificeerde banner types"
"Specify Types","specificeer types"
"Banner Information","banner informatie"
"Banner Type",Banner-type
"Are you sure you want to delete these banners?","Weet u zeker dat u deze banners wilt verwijderen?"
"Related Banners","gerelateerde banners"
"This banner does not exist.","Deze banner bestaat niet."
"You deleted the banner.","U heeft de banner verwijderd."
"Something went wrong while deleting banner data. Please review the action log and try again.","Er ging iets mis tijdens het verwijderen van banner gegevens. Controleer het action logboek en probeer opnieuw."
"We cannot find a banner to delete.","Wij kunnen geen banner vinden om te verwijderen."
"This banner no longer exists.","Deze banner bestaat niet meer."
"Edit Banner","banner aanpassen"
"Please select a banner(s).","Selecteer een banner."
"You deleted %1 record(s).","U heeft %1 record(s) verwijderd."
"Something went wrong while mass-deleting banners. Please review the action log and try again.","Er ging iets mis tijdens het massa-verwijderen van banners. Controleer het action logboek en probeer opnieuw."
"You saved the banner.","U heeft de banner opgeslagen."
"We cannot save the banner.","We konden de banner niet opslaan."
"Please enter a name.","Voer een naam in."
"Please specify default content for at least one store view.","Geef standaard content op voor tenminste één winkelaanzicht."
"-- None --","-- Niets --"
"Related Cart Price Rules","Gerelateerde Winkelwagen-prijsregels"
"Related Catalog Price Rules","gerelateerde catalogusprijzen regels"
"Content Area","Content gebied"
"Left Column","Linker kolom"
"Right Column","Rechter kolom"
"Manage Banners","banners beheren"
"Banner Rotator","tool om banner te draaien"
"Displays Specified or Promotion Banners","laat aangewezen of promotie banners zien"
"Banners to Display","banners om weer te geven"
"Specified Banners","gespecificeerde banners"
"Shopping Cart Promotions Related","Rerelateerde winkelwagen promoties"
"Catalog Promotions Related","gerelateerd aan de promoties in de catalogus"
"Restrict by Banner Types","afgesloten door banner types"
"Rotation Mode","modus om te roteren"
"Display all instead of rotating","Alles laten zien in plaats van rotatie"
"One at the time, Random","een tegelijk, lukraak"
"One at the time, Series","een tegelijk, in een serie"
"One at the time, Shuffle","een tegelijk, door elkaar"
"Specify Banners","specificeer banners"
"Banner Block Template","banner blok mal"
"Banner Inline Template","binnenste banner mal"
"Dynamic Blocks","Dynamische Blokken"
"Add Dynamic Block","Dynamisch Blok Toevoegen"
"Save Dynamic Block","Dynamisch Blok Opslaan"
"Delete Dynamic Block","Dynamisch Blok Verwijderen"
"New Dynamic Block","Nieuw Dynamisch Blok"
"Dynamic Block Default Content for All Store Views","Dynamisch blok standaard content voor alle winkelaanzichten"
"Dynamic Block Properties","Eigenschappen van dynamisch blok"
"Dynamic Block Name","Dynamische bloknaam"
"Any Dynamic Block Type","Elk type dynamisch blok"
"Specified Dynamic Block Types","Gespecificeerde dynamische blok soorten"
"Dynamic Block Information","Dynamische blokinformatie"
"Dynamic Block","Dynamisch blok"
"Dynamic Block Type","Dynamische bloksoorten"
"Are you sure you want to delete these dynamic blocks?","Weet u zeker dat u deze dynamische blokken wilt verwijderen?"
"Related Dynamic Blocks","Gerelateerde dynamische blokken"
"You deleted the dynamic block.","U heeft het dynamische blok verwijderd."
"Something went wrong while deleting dynamic block data. Please review the action log and try again.","Er is iets verkeerd gegaan bij het verwijderen van dynamische blokkendata. Controleer aub het actie logboek en probeer het nogmaals."
"We cannot find a dynamic block to delete.","We kunnen geen dynamisch blok vinden om te verwijderen."
"This dynamic block no longer exists.","Dit dynamische blok bestaat niet langer."
"Edit Dynamic Block","Wijzig dynamisch blok"
"Please select a dynamic block(s).","Selecteer één of meerdere dynamische blokken."
"Something went wrong while mass-deleting dynamic blocks. Please review the action log and try again.","Er ging iets mis tijdens het massa-verwijderen van dynamische blokken. Controleer het action logboek en probeer opnieuw."
"This dynamic block does not exist.","Dit dynamisch blok bestaat niet."
"You saved the dynamic block.","U heeft het dynamisch blok opgeslagen."
"We cannot save the dynamic block.","We kunnen het dynamische blok niet opslaan."
"Manage Dynamic Blocks","Beheer dynamische blokken"
"Dynamic Blocks Rotator","Dynamische blokrotatie"
"Displays Specified or Promotion Dynamic Blocks","Toont opgegeven of Promotie dynamische blokken"
"Dynamic Blocks to Display","Dynamische blokken om weer te geven"
"Specified Dynamic Blocks","Opgegeven dynamische blokken"
"Restrict by Dynamic Block Types","Beperkt door Dynamische Bloktypen"
"Specify Dynamic Blocks","Opgegeven dynamische blokken"
"Dynamic Block Template","Template dynamisch blok"
"Dynamic Block Inline Template","Inline template dynamisch blok"
"Enable Dynamic Block","Schakel Dynamisch Blok In"
"Cart price rules allows you to setup promotions for items that are in the shopping cart.","Winkelwagen prijsregels laat u promoties instellen voor artikelen die zich in het winkelwagentje bevinden."
"Add Cart Price Rules","Prijsregels voor winkelwagen toevoegen"
"Related Catalog Price Rule","Gerelateerde catalogus Prijsregel"
"Catalog price rules allows you to setup promotions for an items in catalog.","Met catalogusprijsregels kunt u promoties instellen voor items in de catalogus."
"Make sure that dynamic blocks rotator does not reference the dynamic block itself.","Zorg ervoor dat de dynamische blokken rotator niet verwijst naar het dynamische blok zelf."
"Cart Price Rule Related","Winkelwagen prijsregel gerelateerd"
"Catalog Price Rule Related","Catalogus prijsregel gerelateerd"
"Import and Export Tax Rates","Import & Export BTW Percentages"
"The tax rate has been imported.","Het BTW-percentage is geimporteerd"
"Invalid file upload attempt","Poging Ongeldig bestand te uploaden"
"Invalid file upload attempt.","Poging Ongeldig bestand te uploaden."
"Invalid file format.","Ongeldig bestandsformaat."
"One of the countries has invalid code.","Eén van de landen heeft een ongeldige code."
"Import Tax Rates","BTW-tarieven Importeren"
"Export Tax Rates","Exporteer BTW-tarieven"
"Country code is invalid: %1","Land code is ongeldig: %1"
"Import/Export Tax Rates","BTW-tarieven in- en exporteren"
"You are subscribed to our newsletter.","Je bent geabonneerd op onze nieuwsbrief."
"You aren't subscribed to our newsletter.","Je bent niet geabonneerd op onze nieuwsbrief."
"You have not set a default shipping address.","Je hebt geen standaard afleveradres ingevoerd."
"You have not set a default billing address.","U heeft geen standaard factuuradres ingevoerd."
region,regio
"Save Customer","Klant opslaan"
"Are you sure you want to revoke the customer's tokens?","Weet u zeker dat u de klant tokens wenst in te trekken?"
"New Customer","Nieuwe klant"
"Shopping Cart from %1","Winkelwagen van %1"
"Newsletter Information",Nieuwsbriefgegevens
"Subscribed to Newsletter","Geabonneerd op nieuwsbrief"
"Last Date Subscribed","Laatste datum geabonneerd"
"Last Date Unsubscribed","Laatste datum uitgeschreven"
"No Newsletter Found","Geen nieuwsbrief gevonden"
"Start date",Begindatum
"Receive Date",Ontvangstdatum
"There are no items in customer's shopping cart.","Er zijn geen producten in de winkelwagen van de klant."
Confirmed,Bevestigd
"Confirmation Required","Bevestiging vereist"
"Confirmation Not Required","Bevestiging niet vereist"
Indeterminate,Onbepaalde
"The customer does not have default billing address.","De klant heeft geen standaard factuuradres"
Locked,Vergrendeld
"Deleted Stores","Verwijderde winkels"
